epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
41,0.0227645,0.0104065,0,0,2878,717,1286,0.741771,0.80053,0.691048,0.70727,0.320655,0.0262099,0.0181713,0,0,0.00325,0.00325,0.00325,0.0926554,0.0984137,0.0812535,0.000407093,0.133368,0.373297,0.198354,0.32256,0.564199,0.951791
42,0.0227323,0.0103367,0,0,2808,628,1356,0.738868,0.817204,0.674237,0.697125,0.314592,0.0265774,0.0183306,0,0,0.00304912,0.00304912,0.00304912,0.0925492,0.0903216,0.0956626,9.24801e-05,0.139366,0.370761,0.200294,0.312026,0.592285,0.951791
43,0.02248,0.0103424,0,0,2801,642,1363,0.736382,0.813424,0.672671,0.682214,0.309474,0.0267126,0.0191876,0,0,0.00285497,0.00285497,0.00285497,0.0942353,0.0986614,0.0888329,9.98729e-05,0.148753,0.398134,0.214104,0.317569,0.57697,0.945555
44,0.0222607,0.0103096,0,0,2834,742,1330,0.732264,0.792493,0.680543,0.684949,0.309226,0.0267301,0.0191484,0,0,0.00266806,0.00266806,0.00266806,0.0975839,0.105814,0.084561,5.13415e-05,0.151644,0.398111,0.214825,0.331828,0.591733,0.946897
45,0.0219863,0.0101542,0,0,2838,690,1326,0.737891,0.804377,0.681556,0.69099,0.312191,0.0266704,0.0188587,0,0,0.00248891,0.00248891,0.00248891,0.085915,0.0911233,0.0772324,0.000474807,0.139299,0.386715,0.205742,0.311535,0.570051,0.955203
46,0.0217608,0.0100095,0,0,2832,693,1332,0.736631,0.80339,0.680115,0.69157,0.311402,0.026637,0.0189975,0,0,0.00231802,0.00231802,0.00231802,0.091624,0.101539,0.0730683,0.000213551,0.146893,0.389552,0.210509,0.307376,0.582111,0.949725
47,0.0216618,0.0100278,0,0,2811,670,1353,0.735396,0.80756,0.675072,0.683872,0.30948,0.0266998,0.0191216,0,0,0.00215585,0.00215585,0.00215585,0.0880804,0.095198,0.0767989,9.98729e-05,0.142241,0.397117,0.208972,0.316747,0.576561,0.949759
48,0.0214971,0.00987659,0,0,2795,618,1369,0.73773,0.818857,0.67123,0.681389,0.309632,0.0267258,0.0193108,0,0,0.00200284,0.00200284,0.00200284,0.0869293,0.0919538,0.0774583,0.000107857,0.143586,0.405231,0.210692,0.302639,0.568396,0.949725
49,0.0212271,0.00980252,0,0,2873,772,1291,0.735798,0.788196,0.689932,0.684345,0.309044,0.0266891,0.0192359,0,0,0.00185942,0.00185942,0.00185942,0.0922904,0.0976972,0.0838974,0.000102379,0.147886,0.39207,0.210867,0.317197,0.567626,0.944253
50,0.0212904,0.00976446,0,0,2789,676,1375,0.731174,0.804947,0.669789,0.679275,0.308697,0.0268848,0.0194054,0,0,0.00172598,0.00172598,0.00172598,0.0889769,0.091627,0.0833191,0.000204151,0.136097,0.397788,0.206344,0.326349,0.596647,0.951102
51,0.0211296,0.00983113,0,0,2783,690,1381,0.72883,0.801328,0.668362,0.669961,0.303949,0.0270489,0.0198696,0,0,0.00160289,0.00160289,0.00160289,0.0911347,0.0942309,0.0852066,0.000230622,0.148293,0.412795,0.216413,0.315764,0.592546,0.947658
52,0.0209861,0.00963749,0,0,2746,649,1418,0.726542,0.808834,0.65945,0.662885,0.300594,0.0270467,0.0204091,0,0,0.00149047,0.00149047,0.00149047,0.0938288,0.0970808,0.0890422,9.98729e-05,0.151907,0.4126,0.219015,0.322277,0.600278,0.940731
53,0.0208027,0.00957104,0,0,2757,657,1407,0.727564,0.807534,0.662005,0.667948,0.304006,0.0268966,0.0203347,0,0,0.00138905,0.00138905,0.00138905,0.0932875,0.0995626,0.0832274,9.24749e-05,0.153775,0.408768,0.218259,0.311334,0.599741,0.942719
54,0.0206234,0.00945544,0,0,2845,764,1319,0.731994,0.788297,0.683197,0.677945,0.307476,0.0268867,0.0198075,0,0,0.00129889,0.00129889,0.00129889,0.090619,0.0964646,0.0818495,8.95724e-05,0.142924,0.389738,0.208189,0.313,0.583146,0.94686
55,0.0206975,0.00948378,0,0,2806,704,1358,0.731266,0.799348,0.673871,0.672033,0.303775,0.0268899,0.0203469,0,0,0.00122025,0.00122025,0.00122025,0.0913147,0.0999715,0.0781413,0.000178614,0.148559,0.406758,0.215056,0.318661,0.600793,0.943487
56,0.0203331,0.00933347,0,0,2812,733,1352,0.729583,0.793338,0.675312,0.665394,0.300905,0.0269934,0.0204344,0,0,0.00115333,0.00115333,0.00115333,0.0932151,0.100593,0.0825869,0.000208312,0.14804,0.412983,0.216348,0.330189,0.610278,0.94142
57,0.0204735,0.00936446,0,0,2839,803,1325,0.727384,0.779515,0.681789,0.666523,0.300905,0.0269567,0.0204603,0,0,0.00109834,0.00109834,0.00109834,0.095277,0.104387,0.0774958,0.000215074,0.148557,0.413983,0.216026,0.334226,0.611758,0.942109
