epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
31,0.0248844,0.0114191,0,0,2905,790,1259,0.739316,0.786279,0.697646,0.705402,0.319149,0.0259492,0.0177884,0,0,0.0055,0.0055,0.0055,0.0914399,0.0972764,0.0807229,0.000454523,0.135626,0.38363,0.204032,0.330535,0.581072,0.952512
32,0.0246956,0.0112619,0,0,2967,850,1197,0.743584,0.777337,0.71264,0.714733,0.315032,0.0258787,0.0172679,0,0,0.00526449,0.00526449,0.00526449,0.0942381,0.0949007,0.0910121,0.00109137,0.135444,0.376344,0.204766,0.319214,0.594801,0.952479
33,0.0245348,0.0111506,0,0,2860,700,1304,0.740547,0.80337,0.686837,0.7089,0.316705,0.0258041,0.0177264,0,0,0.00502962,0.00502962,0.00502962,0.0905312,0.0923274,0.0874299,0.000935868,0.134333,0.385867,0.204563,0.320319,0.574722,0.955234
34,0.0242231,0.0111463,0,0,2879,701,1285,0.74352,0.804135,0.691402,0.709005,0.312448,0.0261261,0.0174042,0,0,0.00479604,0.00479604,0.00479604,0.0903258,0.0920727,0.0873611,0.000224994,0.129385,0.37362,0.196949,0.335806,0.560352,0.95733
35,0.0239782,0.0109187,0,0,2853,635,1311,0.745683,0.817946,0.685152,0.716017,0.318132,0.0258443,0.0175821,0,0,0.0045644,0.0045644,0.0045644,0.0902922,0.0936016,0.082174,0.000422596,0.129163,0.363831,0.197521,0.335605,0.563387,0.957271
36,0.0238136,0.0108619,0,0,2962,902,1202,0.737967,0.766582,0.711411,0.701539,0.311771,0.0259893,0.0180106,0,0,0.00433531,0.00433531,0.00433531,0.0880025,0.0869149,0.0883777,0.00104347,0.127227,0.384493,0.200286,0.344429,0.575148,0.956671
37,0.0234754,0.0106602,0,0,2988,851,1176,0.746744,0.778381,0.717579,0.712607,0.317665,0.0259878,0.0177767,0,0,0.00410942,0.00410942,0.00410942,0.0918876,0.0912168,0.0952556,0.000946801,0.132048,0.352362,0.193166,0.334917,0.58318,0.950447
38,0.0232937,0.0107238,0,0,2865,705,1299,0.74088,0.802511,0.68804,0.700055,0.313774,0.0260393,0.0183658,0,0,0.00388734,0.00388734,0.00388734,0.0930405,0.0902611,0.0996937,0.000978806,0.133754,0.366597,0.197524,0.349431,0.606507,0.951102
39,0.023214,0.0107424,0,0,2839,673,1325,0.739636,0.808347,0.681691,0.693567,0.311845,0.0261723,0.0185877,0,0,0.00366969,0.00366969,0.00366969,0.0902534,0.0874489,0.097987,0.000208328,0.134222,0.39083,0.204406,0.337541,0.602434,0.951824
40,0.0231477,0.0104957,0,0,2892,737,1272,0.742182,0.796861,0.694524,0.702727,0.313738,0.0261865,0.018515,0,0,0.00345704,0.00345704,0.00345704,0.0904162,0.0843688,0.100848,0.000959255,0.12895,0.369064,0.196215,0.338184,0.589701,0.951136
41,0.0225595,0.0103134,0,0,2791,588,1373,0.740003,0.825932,0.670269,0.697095,0.313287,0.0262136,0.0184193,0,0,0.00325,0.00325,0.00325,0.0937761,0.0906639,0.102083,0.000855281,0.131828,0.39098,0.204501,0.336545,0.598247,0.946355
42,0.0225718,0.0102664,0,0,2878,744,1286,0.739311,0.794601,0.691215,0.695661,0.308791,0.0263184,0.0186769,0,0,0.00304912,0.00304912,0.00304912,0.0879437,0.0860286,0.0929279,0.000230622,0.129224,0.378853,0.198328,0.34841,0.614753,0.952512
43,0.0222418,0.0102419,0,0,2866,788,1298,0.733182,0.784352,0.68828,0.683003,0.305511,0.0262604,0.0193815,0,0,0.00285497,0.00285497,0.00285497,0.101184,0.0985885,0.107107,0.00178387,0.153537,0.403762,0.221047,0.354651,0.594279,0.942149
44,0.022098,0.0101891,0,0,2835,687,1329,0.737726,0.80499,0.680836,0.687282,0.308754,0.0261965,0.0192608,0,0,0.00266806,0.00266806,0.00266806,0.0896234,0.0839147,0.0990064,0.000894536,0.134387,0.393064,0.206768,0.354535,0.582687,0.946244
45,0.0219059,0.0101046,0,0,2831,709,1333,0.734909,0.799638,0.679875,0.681055,0.30682,0.0263587,0.0193078,0,0,0.00248891,0.00248891,0.00248891,0.0960134,0.0963802,0.0977826,0.00082832,0.141167,0.396829,0.212159,0.348005,0.57182,0.940124
46,0.0215668,0.00990644,0,0,2795,634,1369,0.736237,0.815187,0.67123,0.678898,0.303999,0.026398,0.0198207,0,0,0.00231802,0.00231802,0.00231802,0.0998403,0.0992056,0.103577,0.00687026,0.143077,0.37892,0.206425,0.364966,0.606537,0.938578
47,0.0214661,0.00996292,0,0,2873,778,1291,0.735241,0.786904,0.689944,0.681719,0.305318,0.026372,0.0193835,0,0,0.00215585,0.00215585,0.00215585,0.0930627,0.0910107,0.0989969,9.67328e-05,0.144455,0.388704,0.210026,0.349476,0.603741,0.945517
48,0.0213262,0.0098337,0,0,2796,664,1368,0.733445,0.808023,0.67147,0.680108,0.304998,0.026374,0.0194721,0,0,0.00200284,0.00200284,0.00200284,0.093068,0.0904989,0.101408,0.00201506,0.13709,0.398824,0.208149,0.357189,0.593097,0.941379
49,0.0210585,0.00973001,0,0,2864,774,1300,0.734155,0.787209,0.6878,0.678562,0.302782,0.0265029,0.0195155,0,0,0.00185942,0.00185942,0.00185942,0.0958325,0.0929548,0.1018,0.00201506,0.139845,0.38866,0.207185,0.367674,0.613783,0.94142
50,0.0211243,0.00967241,0,0,2788,691,1376,0.729533,0.801322,0.669549,0.673217,0.300964,0.0266301,0.0201132,0,0,0.00172598,0.00172598,0.00172598,0.0997134,0.0971547,0.103071,0.000192893,0.145796,0.398551,0.211769,0.375153,0.594459,0.935862
51,0.0210277,0.00977243,0,0,2790,660,1374,0.732881,0.808745,0.670029,0.672923,0.299756,0.0266349,0.0199353,0,0,0.00160289,0.00160289,0.00160289,0.0972654,0.0949413,0.101423,0.000192893,0.148712,0.407432,0.215535,0.353064,0.581067,0.935862
52,0.0207858,0.00955293,0,0,2800,704,1364,0.730323,0.799124,0.67243,0.673109,0.299346,0.0266719,0.0200674,0,0,0.00149047,0.00149047,0.00149047,0.0981589,0.0967004,0.102649,0.000469251,0.148431,0.401974,0.214438,0.359226,0.599835,0.937888
53,0.0206322,0.00949334,0,0,2843,758,1321,0.732233,0.789493,0.682717,0.67422,0.301642,0.0266285,0.0199679,0,0,0.00138905,0.00138905,0.00138905,0.0954236,0.0925423,0.102647,0.000170752,0.153184,0.393412,0.215612,0.341732,0.587084,0.94
54,0.0204473,0.00939159,0,0,2874,779,1290,0.735345,0.786806,0.690202,0.680433,0.3025,0.0266402,0.0197117,0,0,0.00129889,0.00129889,0.00129889,0.0947989,0.0911467,0.102395,0.00848025,0.141724,0.38799,0.205984,0.346087,0.571693,0.942109
55,0.0205226,0.0094064,0,0,2853,807,1311,0.729319,0.779565,0.685159,0.672077,0.300076,0.0267345,0.020295,0,0,0.00122025,0.00122025,0.00122025,0.0980603,0.0945071,0.104437,0.00766031,0.147748,0.394184,0.212107,0.358121,0.590466,0.937974
56,0.0201489,0.0092262,0,0,2773,663,1391,0.729748,0.807071,0.665946,0.673151,0.300198,0.0268063,0.0201419,0,0,0.00115333,0.00115333,0.00115333,0.099364,0.0958633,0.107934,0.000384642,0.147824,0.386139,0.209584,0.359905,0.593671,0.933793
57,0.0203016,0.00930031,0,0,2774,679,1390,0.728407,0.803448,0.666186,0.667871,0.297161,0.0268728,0.0202987,0,0,0.00109834,0.00109834,0.00109834,0.0995231,0.0946477,0.108805,0.000192893,0.150017,0.401984,0.216367,0.361739,0.591234,0.933839
58,0.0201163,0.00916865,0,0,2765,667,1399,0.728054,0.805749,0.664025,0.66361,0.296867,0.0269502,0.0206557,0,0,0.0010554,0.0010554,0.0010554,0.100139,0.0945314,0.116846,0.000178614,0.151092,0.393371,0.213533,0.373738,0.603724,0.932414
59,0.0200006,0.00921164,0,0,2850,805,1314,0.728949,0.779652,0.684438,0.670073,0.298506,0.0269116,0.02044,0,0,0.00102465,0.00102465,0.00102465,0.0941885,0.0924598,0.100634,0.000184402,0.144466,0.391876,0.209088,0.36174,0.596534,0.937845
